,KH_Vote_Count,KH_Vote_Pct,DT_Vote_Count,DT_Vote_Pct,Pct_Reported,Est_Votes_Remain,Population
2024-11-05 12:52:13.384958,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:52:28.353308,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:52:50.409383,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:53:14.542738,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:53:29.396757,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:53:47.130421,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:54:08.229979,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:54:29.850108,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:54:50.233380,0,0.000,0,0.000,0.000,3201856,5910955
2024-11-05 12:55:08.496112,0,0.000,0,0.000,0.000,3201856,5910955
